"source";"user_id";"created_at";"screen_name";"text";"retweet_count";"reply_to_user_id";"is_retweet";"favorite_count"
"Twitter for iPhone";"999578121123848192";2020-05-16 18:30:29;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/VMQXDukN1d";336;NA;FALSE;2568
"Twitter for iPhone";"999578121123848192";2020-05-13 18:38:43;"GiuseppeConteIT";"Consiglio dei Ministri n. 45, la conferenza stampa del Presidente @GiuseppeConteIT con i Ministri @gualtierieurope, @robersperanza, @SPatuanelli e @TeresaBellanova
<U+0001F534> Diretta https://t.co/LAx5N71Wjp";200;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-05-13 18:26:07;"GiuseppeConteIT";"Appena concluso il Consiglio dei Ministri sul #DecretoRilancio, a breve conferenza stampa in diretta da @Palazzo_Chigi";723;NA;FALSE;7398
"Twitter for iPhone";"999578121123848192";2020-05-10 14:00:02;"GiuseppeConteIT";"#SilviaRomanoLibera https://t.co/A2RD9yiWdy";1474;NA;FALSE;11785
"Twitter for iPhone";"999578121123848192";2020-05-10 13:13:17;"GiuseppeConteIT";"Bentornata in Italia, Silvia! https://t.co/aWyBPzZDGJ";2930;NA;FALSE;26764
"Twitter for iPhone";"999578121123848192";2020-05-10 11:26:37;"GiuseppeConteIT";"La mia intervista oggi al @Corriere <U+27A1><U+FE0F> https://t.co/MD1j5I6CXi";275;NA;FALSE;1541
"Twitter for iPhone";"999578121123848192";2020-05-10 09:31:45;"GiuseppeConteIT";"Sono tanti mesi che non vedo mia madre, le regole sul distanziamento ci tengono lontani. Questa mattina l’ho chiamata per mandarle un saluto affettuoso. A lei e a tutte le mamme italiane dedico il mio pensiero e il mio ringraziamento più sincero #festadellamamma https://t.co/FQK7JRPDU6";1354;NA;FALSE;17555
"Twitter for iPhone";"999578121123848192";2020-05-09 15:17:31;"GiuseppeConteIT";"Silvia Romano è stata liberata! Ringrazio le donne e gli uomini dei servizi di intelligence esterna. Silvia, ti aspettiamo in Italia!";10987;NA;FALSE;55762
"Twitter for iPhone";"999578121123848192";2020-05-09 12:30:34;"GiuseppeConteIT";"La nota del Presidente @GiuseppeConteIT in occasione del Giorno della Memoria delle vittime del terrorismo: https://t.co/7w8FLWhALE";189;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-05-09 10:47:23;"GiuseppeConteIT";"L’Europa si trova di fronte a un momento di importanza storica: decisioni ambiziose e coraggiose non sono solo opportune, ma necessarie. 
Qui di seguito la mia intervista a @EuractivItalia <U+27A1><U+FE0F> https://t.co/WsLClYgDSr https://t.co/dVoNkUdeMW";314;NA;FALSE;2097
"Twitter for iPhone";"999578121123848192";2020-05-09 10:28:38;"GiuseppeConteIT";"Oggi #EuropeDay celebriamo i valori della solidarietà e unità che hanno ispirato l’Europa dei padri fondatori. Solo grazie a quella unità di intenti supereremo insieme la crisi del #coronavirus e preserveremo il progetto europeo #UnitedAgainstCoronavirus #StrongerTogether https://t.co/BTdq3Nt8S6";431;NA;FALSE;2609
"Twitter for iPhone";"999578121123848192";2020-05-08 10:44:58;"GiuseppeConteIT";"Oggi è la giornata mondiale della #CroceRossa e della #MezzalunaRossa. Grazie ai 14 milioni di volontari e volontarie che ogni giorno svolgono in 192 Paesi del mondo un prezioso lavoro di protezione e soccorso. Lo spirito che anima la vostra azione è un esempio per tutti noi https://t.co/N20U2R9K4z";567;NA;FALSE;3975
"Twitter for iPhone";"999578121123848192";2020-05-06 09:26:41;"GiuseppeConteIT";"Grazie al senso di responsabilità degli italiani sono fiducioso che riusciremo a tenere sotto controllo la curva epidemiologica. Intanto il Governo si prepara a varare importanti misure che avranno un significativo impatto sulla ripartenza dell'economia <U+2935><U+FE0F>
https://t.co/KAPIrijE8o";805;NA;FALSE;5642
"Twitter for iPhone";"999578121123848192";2020-05-04 16:57:31;"GiuseppeConteIT";"Today we join forces in the global fight against coronavirus. Italy is proud to contribute to accelerate the development, production and equitable access to COVID-19 vaccines, diagnostics and therapeutics by supporting @WHO, @CEPIvaccines, @GAVI. #UnitedAgainstCoronavirus";797;NA;FALSE;6062
"Twitter for iPhone";"999578121123848192";2020-05-03 17:59:55;"GiuseppeConteIT";"Domani comincerà la fase 2 dell’emergenza, quella della convivenza con il virus. Sarà una nuova pagina che dovremo scrivere tutti insieme, con fiducia e responsabilità: https://t.co/I0WEwoscL8 https://t.co/bQHsKAj5yq";1076;NA;FALSE;8259
"Twitter for iPhone";"999578121123848192";2020-05-03 16:24:09;"GiuseppeConteIT";"Tanti cittadini stanno offrendo  prove di grande impegno. Tra questi c’è il prof. Ambrogio Iacono: colpito dal Covid-19, continua a fare lezione a distanza ai suoi studenti dal letto dell'ospedale. Grazie Professore: i suoi studenti saranno fieri di Lei. https://t.co/OqstP8sESO";838;NA;FALSE;6804
"Twitter for iPhone";"999578121123848192";2020-05-03 09:13:01;"GiuseppeConteIT";"Il Paese si appresta a vivere la fase 2 dell’emergenza, ma è fondamentale non abbassare la guardia. Siamo ancora in piena pandemia e gesti di disattenzione potrebbero vanificare gli sforzi sin qui fatti. 
La mia intervista di oggi a @LaStampa <U+2935><U+FE0F> https://t.co/UUocSDRKdX";971;NA;FALSE;5581
"Twitter for iPhone";"999578121123848192";2020-05-01 08:13:59;"GiuseppeConteIT";"Non farò finta di non sentire i vostri consigli, le sollecitazioni, la vostra rabbia ed angoscia. Non cadono nel vuoto, non sono parole al vento. Sono piuttosto il vento che spinge più forte l’azione del Governo. Credo sia l’unico modo per onorare questo giorno, questo #1maggio";814;"999578121123848192";FALSE;6621
"Twitter for iPhone";"999578121123848192";2020-05-01 08:13:59;"GiuseppeConteIT";"Il mondo del lavoro è messo a dura prova. Tanti vivono con ansia e preoccupazione questa emergenza, fra attività chiuse e prospettive di lavoro a rischio. Ho letto alcune vostre lettere, ho provato a vestire i vostri panni e ne ho avvertito tutto il peso: https://t.co/THxKh50EhN https://t.co/ergroV7rja";1154;NA;FALSE;9035
"Twitter for iPhone";"999578121123848192";2020-04-30 11:38:36;"GiuseppeConteIT";"In diretta dal Senato della Repubblica: https://t.co/ifxOqctMMf";276;NA;FALSE;2212
"Twitter for iPhone";"999578121123848192";2020-04-30 08:25:40;"GiuseppeConteIT";"In diretta dalla Camera dei deputati: https://t.co/igfMOVdVFL";400;NA;FALSE;2972
"Twitter for iPhone";"999578121123848192";2020-04-29 18:31:31;"GiuseppeConteIT";"Domani mattina sarò prima alla Camera dei deputati e poi al Senato della Repubblica per un’informativa urgente sulle iniziative del Governo per la ripresa delle attività economiche https://t.co/bLz5vTA0v2";788;NA;FALSE;6517
"Twitter for iPhone";"999578121123848192";2020-04-28 15:33:01;"GiuseppeConteIT";"Genova ci insegna che il più grande atto di amore che dobbiamo a noi stessi e al nostro Paese è ripartire insieme, facendo ciascuno la propria parte. Genova ha saputo riprendere il cammino, e dopo il buio può finalmente vedere la luce. Una luce che dà speranza all'Italia intera https://t.co/mPPct3JDXz";761;NA;FALSE;5098
"Twitter Media Studio";"999578121123848192";2020-04-28 11:56:19;"GiuseppeConteIT";"Il mio intervento in occasione della posa dell’ultima campata del nuovo #PontediGenova https://t.co/fL84fytubW";735;NA;FALSE;5884
"Twitter Media Studio";"999578121123848192";2020-04-27 20:15:57;"GiuseppeConteIT";"Dichiarazioni alla stampa da Milano https://t.co/caAxic1FjH";979;NA;FALSE;5952
"Twitter for iPhone";"999578121123848192";2020-04-26 18:29:40;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/jmD22B7sZM";428;NA;FALSE;3137
"Twitter for iPhone";"999578121123848192";2020-04-26 15:23:04;"GiuseppeConteIT";"Questa sera conferenza stampa in diretta da @Palazzo_Chigi https://t.co/eSAXCgpx9D";1634;NA;FALSE;9912
"Twitter for iPhone";"999578121123848192";2020-04-26 09:08:08;"GiuseppeConteIT";"Stiamo lavorando per facilitare la ripartenza del Paese dopo il 4 maggio. Non possiamo protrarre oltre questo lockdown, ma il riavvio dovrà avvenire in piena sicurezza, a garanzia della salute pubblica. 
La mia intervista oggi a @repubblica <U+27A1><U+FE0F> https://t.co/y1sP9V76sh https://t.co/c30CmuanhX";1109;NA;FALSE;8355
"Twitter for iPhone";"999578121123848192";2020-04-25 18:34:16;"GiuseppeConteIT";"Fosse Ardeatine, 24 marzo 1944.
335 civili e militari trucidati.
Per non dimenticare. https://t.co/2yyHWbaXck";1102;NA;FALSE;9307
"Twitter for iPhone";"999578121123848192";2020-04-25 10:46:43;"GiuseppeConteIT";"“Viva l'Italia
L'Italia liberata
L'Italia con gli occhi asciutti nella notte scura
Viva l'Italia, l'Italia che non ha paura
L'Italia con gli occhi aperti nella notte triste
Viva l'Italia
L'Italia che resiste”
(F. De Gregori) 
#25aprile https://t.co/H77q20azol";4851;NA;FALSE;25513
"Twitter for iPhone";"999578121123848192";2020-04-24 15:55:56;"GiuseppeConteIT";"\"Il virus non conosce confini\". Siamo orgogliosi di partecipare, insieme ad altri Paesi, all'iniziativa globale del @WHO per la ricerca e la distribuzione di un vaccino contro il #COVID19. Insieme ce la faremo. <U+0001F30D>";1059;NA;FALSE;9324
"Twitter for iPhone";"999578121123848192";2020-04-23 18:02:52;"GiuseppeConteIT";"Grandi progressi, impensabili fino a poche settimane fa, all’esito del Consiglio Europeo appena terminato. A breve maggiori dettagli in conferenza stampa #euco https://t.co/FU1syhXNhN";1067;NA;FALSE;7485
"Twitter for iPhone";"999578121123848192";2020-04-21 15:42:00;"GiuseppeConteIT";"In diretta dalla Camera dei deputati: https://t.co/9W1bJy2c36";302;NA;FALSE;2361
"Twitter for iPhone";"999578121123848192";2020-04-21 13:08:17;"GiuseppeConteIT";"In diretta dal Senato: https://t.co/gK41iNjrC2";287;NA;FALSE;1926
"Twitter for iPhone";"999578121123848192";2020-04-21 05:39:47;"GiuseppeConteIT";"In queste ore continua senza sosta il lavoro del Governo, coadiuvato dall’équipe di esperti, al fine di coordinare la gestione della ‘fase 2’, quella della convivenza con il virus. Presto sarò in grado di comunicarvi i dettagli di questo articolato piano: https://t.co/EV7HF2qtx5 https://t.co/oUa6UiSH2X";1111;NA;FALSE;7911
"Twitter for iPhone";"999578121123848192";2020-04-15 17:06:02;"GiuseppeConteIT";"Sul #MES sta lievitando un dibattito che rischia di dividere l’intera Italia secondo opposte tifoserie e rigide contrapposizioni. La mia posizione è stata molto chiara sin dall’inizio: https://t.co/IRPQWVhZMC https://t.co/6Uh8ZxiryZ";1270;NA;FALSE;7787
"Twitter Media Studio";"999578121123848192";2020-04-11 13:38:16;"GiuseppeConteIT";"Grazie a ognuno di voi. Insieme ce la faremo <U+0001F1EE><U+0001F1F9> https://t.co/IBusdJni6i";4899;NA;FALSE;27805
"Twitter for iPhone";"999578121123848192";2020-04-10 17:38:54;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/PT8pZWKOIz";760;NA;FALSE;6012
"Twitter for iPhone";"999578121123848192";2020-04-10 16:32:15;"GiuseppeConteIT";"Conferenza stampa in diretta dalle 19.30 https://t.co/zVJltKDVTN";1105;NA;FALSE;10038
"Twitter for iPhone";"999578121123848192";2020-04-10 08:47:04;"GiuseppeConteIT";"Io ho una sola parola: la mia posizione e quella del Governo sul #MES non è mai cambiata e mai cambierà. Più tardi in conferenza stampa vi aggiornerò su questo e su altre importanti questioni che riguardano il nostro Paese. A più tardi.";2893;NA;FALSE;20309
"Twitter Media Studio";"999578121123848192";2020-04-09 17:51:15;"GiuseppeConteIT";"La mia intervista alla @BBCWorld https://t.co/Rq9E6wKebK";910;NA;FALSE;5222
"Twitter for iPhone";"999578121123848192";2020-04-06 21:28:29;"GiuseppeConteIT";"Quando si difende il proprio Paese non si fanno calcoli. Io sono convinto, lo dico con tutta la prudenza che mi contraddistingue, che la storia è con noi. E vedremo alla fine quale piega prenderà. https://t.co/JVAwouZIZz";1557;NA;FALSE;9667
"Twitter for iPhone";"999578121123848192";2020-04-06 19:17:25;"GiuseppeConteIT";"Dal decreto di oggi arrivano 400 miliardi di liquidità per le imprese, con il #CuraItalia ne avevamo liberati 350. Parliamo di 750 miliardi, quasi la metà del nostro Pil. Lo Stato c’è e mette subito la sua potenza di fuoco nel motore dell'economia. Quando si rialza l'Italia corre";1780;NA;FALSE;11421
"Twitter for iPhone";"999578121123848192";2020-04-06 18:27:38;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/wTDrJfLrkJ";261;NA;FALSE;1684
"Twitter for iPhone";"999578121123848192";2020-04-06 17:10:06;"GiuseppeConteIT";"Ciao Giorgio https://t.co/Hzqs9Nv5bq";1989;NA;FALSE;16705
"Twitter for iPhone";"999578121123848192";2020-04-01 17:05:05;"GiuseppeConteIT";"Alle 20.20 conferenza stampa in diretta da @Palazzo_Chigi https://t.co/SwaE5TRqep";721;NA;FALSE;4896
"Twitter for iPhone";"999578121123848192";2020-04-01 11:46:08;"GiuseppeConteIT";"Questa sera sarò ospite di @lucasommi72, @AndreaScanzi e @marcotravaglio per una puntata speciale di #AccordiEDisaccordi. Dalle 21.25 sul @nove. https://t.co/eweqlgGl8j";555;NA;FALSE;3520
"Twitter for iPhone";"999578121123848192";2020-03-31 18:47:32;"GiuseppeConteIT";"In diretta ora: https://t.co/ZMO8g5tqdT https://t.co/emSQAXNqO4";221;NA;FALSE;1572
"Twitter for iPhone";"999578121123848192";2020-03-31 18:16:31;"GiuseppeConteIT";"Stasera andrà in onda sulla tv tedesca “Ard” una mia intervista. Ho lanciato un messaggio ai cittadini tedeschi e formulato alcune considerazioni per affrontare in modo più efficace questa emergenza europea. La potrete seguire sulla mia pagina facebook a partire dalle 20.45 https://t.co/lzhS1j16tT";721;NA;FALSE;5643
"Twitter for iPhone";"999578121123848192";2020-03-31 09:59:47;"GiuseppeConteIT";"Oggi le bandiere italiane in tutti gli uffici pubblici sono esposte a mezz'asta in segno di lutto e vicinanza ai familiari delle vittime del #coronavirus e come segnale di partecipazione collettiva al cordoglio delle comunità più colpite https://t.co/EazqXrPYJj";659;NA;TRUE;0
